seed,variant,parameters,packed_bytes,validation_cross_entropy,validation_perplexity,validation_accuracy,expected_loops,actual_loops,tokens_per_second,stability_halt_rate,training_seconds
19,full_untied_fixed,308544,1234176,2.391568149512677,10.930621358914959,0.3411612848014605,6.0,6,69865.34104223899,0.0,20.62535009599992
19,a_memory_v2_fixed,84417,102936,2.426763570237954,11.322179281026527,0.3339014719306253,6.0,6,48482.31416530145,0.0,27.958341410000003
19,b_loop_conditioning,85185,106008,2.4324752706634785,11.387033214048705,0.33415820401643087,6.0,6,52715.5718336779,0.0,28.210593286000176
19,c_low_rank_adapters,90561,127512,2.422504874246407,11.27406408821626,0.33570572797809217,6.0,6,53026.3802728783,0.0,27.60079272600001
19,d_chunk_memory,84417,102936,2.4248101788533436,11.300084220739905,0.33509242355089003,6.0,6,41632.89555881416,0.0,32.102484029999914
19,e_progressive_supervision,84417,102936,2.418006900454808,11.22346751974693,0.3344006732085806,6.0,6,49202.03536648963,0.0,27.11252821900007
19,f_staged_memory,84417,102936,2.429676513811161,11.355208232779379,0.3325251026928343,6.0,6,47010.366326203264,0.0,24.459680458000093
19,g_gradual_ternarization,84417,102936,2.4034746484308145,11.061544662698449,0.3373530921953446,6.0,6,50311.087846540315,0.0,27.72550913200007
19,h_teacher_distillation,84417,102936,2.434691106603876,11.412292986919873,0.33244665677772706,6.0,6,53022.473553711054,0.0,32.47778594700003
19,i_prediction_stability_halt,84417,102936,2.4306634705341987,11.366420864167011,0.33241813099041534,5.091282367706299,6,52830.57498033303,0.9999999701976776,26.987408363999975
19,j_adaptive_stability_halt,84482,103196,2.4429044701747293,11.50641228731356,0.3279039251483341,2.9981656074523926,6,49443.22001017998,0.8973071920918301,26.496184546999984
19,k_quality_combo,90561,127512,2.404478577161586,11.072655241373448,0.33527784116841625,6.0,6,50579.04189219111,0.0,28.30599431199994
19,l_quality_combo_stability_halt,90561,127512,2.409972977387965,11.133660280417962,0.333088486992241,4.071656703948975,6,54864.29539123934,0.999999972525984,27.665746191000153
23,full_untied_fixed,308544,1234176,2.3797965735292284,10.802705084225483,0.3422096074851666,6.0,6,70472.36650675532,0.0,19.87938605599993
23,a_memory_v2_fixed,84417,102936,2.4297132818517158,11.355625749211773,0.3316978548607942,6.0,6,50341.96061287966,0.0,26.52035839999985
23,b_loop_conditioning,85185,106008,2.4271004771272215,11.325994443869062,0.3339656549520767,6.0,6,51288.396926192516,0.0,27.801480146999893
23,c_low_rank_adapters,90561,127512,2.427537387933213,11.330943974403143,0.3313840712003651,6.0,6,49826.83694182213,0.0,27.97672585400005
23,d_chunk_memory,84417,102936,2.4309935489238423,11.370173293325683,0.33358055682336835,6.0,6,42194.13302387814,0.0,32.039318185999946
23,e_progressive_supervision,84417,102936,2.42582198943465,11.311523551766264,0.3334735851209493,6.0,6,52468.80083883231,0.0,26.607543667999835
23,f_staged_memory,84417,102936,2.426949094061109,11.324280009874789,0.32878822455499773,6.0,6,51502.26800031395,0.0,25.642104387000018
23,g_gradual_ternarization,84417,102936,2.4095731062303662,11.129209140793806,0.336889548151529,6.0,6,49375.042453023285,0.0,26.747380237000016
23,h_teacher_distillation,84417,102936,2.4321457772753328,11.38328187994791,0.3304284573254222,6.0,6,49573.375908577946,0.0,33.424868006999986
23,i_prediction_stability_halt,84417,102936,2.4346888414641485,11.412267136510927,0.33127709949794615,4.858055591583252,6,56901.12528269353,1.0000000288709998,26.797611263000135
