seed,variant,parameters,packed_bytes,validation_cross_entropy,validation_perplexity,validation_accuracy,expected_loops,actual_loops,tokens_per_second,stability_halt_rate,training_seconds
19,full_untied_fixed,308544,1234176,1.9560260076274725,7.071170377835581,0.440245607028754,6.0,6,68940.9366411444,0.0,64.96085332500024
19,full_tied_fixed,72064,288256,2.0532500233513096,7.793188035590178,0.41515717708808764,6.0,6,64083.3714132712,0.0,62.40171375199998
19,a_memory_v2_fixed,84417,102936,2.095933901126501,8.133032873179607,0.3944403240529439,6.0,6,50770.41111822927,0.0,85.81953202100021
19,g_gradual_ternarization,84417,102936,2.0657349956030173,7.89109568735212,0.40318347786398906,6.0,6,50645.628173767895,0.0,85.45270902399989
19,k_quality_combo,90561,127512,2.0573832130170966,7.82546541816424,0.40605031948881787,6.0,6,46400.10080533285,0.0,89.10202990300013
19,l_quality_combo_stability_halt,90561,127512,2.062420741002454,7.864985878343932,0.4066279666818804,5.55271577835083,6,50917.309144684754,0.9429484307765961,89.03565135699955
23,full_untied_fixed,308544,1234176,1.9296972831054018,6.887424986072619,0.44560132359653126,6.0,6,71508.65240185079,0.0,61.212044304999836
23,full_tied_fixed,72064,288256,2.0412428319209353,7.700173275521595,0.4151928343222273,6.0,6,68152.9554605937,0.0,60.36304142799963
23,a_memory_v2_fixed,84417,102936,2.09046086825393,8.088642103788084,0.3950536284801461,6.0,6,54520.53757280918,0.0,85.59541643000011
23,g_gradual_ternarization,84417,102936,2.078348756979068,7.991262497367967,0.39872632359653126,6.0,6,49790.44989798,0.0,86.20128627099984
23,k_quality_combo,90561,127512,2.0455872663239374,7.733698945515318,0.41179826563213145,6.0,6,47547.37302661374,0.0,90.5959853180002
23,l_quality_combo_stability_halt,90561,127512,2.0569266994377076,7.82189380224342,0.4086532975810132,5.465084552764893,6,49696.13771426342,0.8626198172569275,92.31050884200067
29,full_untied_fixed,308544,1234176,1.9208899114513875,6.827031220046457,0.4467352236421725,6.0,6,71865.88822381773,0.0,61.601707407000504
29,full_tied_fixed,72064,288256,2.039159568462781,7.684148483642533,0.41582040164308537,6.0,6,67689.08729479475,0.0,61.590111729000455
29,a_memory_v2_fixed,84417,102936,2.106583623568362,8.22011026793184,0.3921653925148334,6.0,6,49629.44691823848,0.0,85.1679785209999
29,g_gradual_ternarization,84417,102936,2.070074588073981,7.92541423718744,0.40620007987220447,6.0,6,47338.278253067794,0.0,88.16134656899976
29,k_quality_combo,90561,127512,2.049164077779682,7.761410458383143,0.40725553400273845,6.0,6,41419.2043676204,0.0,94.18028709200007
29,l_quality_combo_stability_halt,90561,127512,2.048222599699855,7.75410669927208,0.4081184390689183,5.9639434814453125,6,42327.99855357131,0.47877680137753487,93.3145408069995
